"Số Phiếu Nhập","Ngày kế hoạch","Loại hình nhập","Trạng thái quét barcode","Tên nhà cung cấp","Nơi xuất đến","Ref No"
"N20221229-01","29/12/2022","Nhập từ NCC","1 phần","","",""
"N20221227-03","27/12/2022","Nhập từ NCC","1 phần","","",""
"N20221227-02","27/12/2022","Nhập từ NCC","1 phần","Công ty sản xuất và thương mại Zador","Viettel Post",""
"N20221226-01","26/12/2022","Nhập từ NCC","1 phần","","",""
"N20221221-01","21/12/2022","Nhập từ NCC","1 phần","","",""
"N20221220-05","20/12/2022","Nhập từ NCC","1 phần","","",""
"N20221220-03","20/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-10","19/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-09","19/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-08","19/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-07","19/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-06","19/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-05","19/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-04","19/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-03","19/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-02","19/12/2022","Nhập từ NCC","1 phần","","",""
"N20221219-01","19/12/2022","Nhập từ NCC","1 phần","Công ty sản xuất và thương mại Zador","",""
"N20221216-07","16/12/2022","Nhập từ NCC","1 phần","","",""
"N20221216-06","16/12/2022","Nhập Trả Hàng Từ Nơi Xuất Đến","1 phần","","",""
"N20221214-01","14/12/2022","Nhập từ NCC","1 phần","Công ty sản xuất và thương mại Zador","CTY TNHH MTV DIRECT SERVICES",""
"N20221209-07","09/12/2022","Nhập từ NCC","1 phần","","",""
"N20221209-06","09/12/2022","Nhập từ NCC","1 phần","","",""
"N20221209-05","09/12/2022","Nhập từ NCC","1 phần","","",""
"N20221209-04","09/12/2022","Nhập từ NCC","1 phần","","",""
"N20221209-03","09/12/2022","Nhập từ NCC","1 phần","","",""
"BF1AW","09/12/2022","Nhập từ NCC","1 phần","Công ty sản xuất và thương mại Zador","CTY TNHH MTV DIRECT SERVICES",""
"BF0987","09/12/2022","Nhập từ NCC","1 phần","Công ty sản xuất và thương mại Zador","CTY TNHH MTV DIRECT SERVICES",""
"BFG6789","05/12/2022","Nhập từ NCC","1 phần","N&H Logistics","Viettel Post",""
"df6789","05/12/2022","Nhập từ NCC","1 phần","Công ty sản xuất và thương mại Zador","",""
"fe2324","05/12/2022","Nhập từ NCC","1 phần","Công ty sản xuất và thương mại Zador","",""
"BF1234","05/12/2022","Nhập từ NCC","1 phần","N&H Logistics","",""
"N20221201-06","01/12/2022","Nhập Trả Hàng Từ Nơi Xuất Đến","1 phần","","Viettel Post","121ENGG"
"gb456","01/12/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"fg345","01/12/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"bg1234","01/12/2022","Nhập từ NCC","1 phần","N&H Logistics","",""
"GOHOME","30/11/2022","Nhập từ NCC","1 phần","Công ty sản xuất và thương mại Zador","",""
"1234","30/11/2022","Nhập từ NCC","1 phần","","",""
"N20221130-02","30/11/2022","Nhập từ NCC","1 phần","N&H Logistics","",""
"N20221020-01","20/10/2022","Nhập từ NCC","1 phần","","",""
"N20220525-04","25/05/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"N20220525-03","25/05/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"N20220525-02","25/05/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"N20220525-01","25/05/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"N20220519-04","19/05/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"3N20220519-01","19/05/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"N20210703-03","07/03/2021","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"N20220418-02","18/04/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"N20220415-02","15/04/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"N20220414-01","14/04/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
"N20220408-05","08/04/2022","Nhập từ NCC","1 phần","CTY TNHH MTV DIRECT SERVICES","",""
